backend,op,params,runs,us_per_run,throughput,unit
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=32,k=2048,o=1,mul=0",1391,732.39,1.28,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=64,k=2048",1242,823.48,2.28,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=64,k=2048,o=1,mul=0",1242,821.03,2.29,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=128,k=2048",1215,841.44,4.47,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=128,k=2048,o=1,mul=0",1188,842.27,4.46,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=256,k=2048",826,1225.67,6.13,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=256,k=2048,o=1,mul=0",854,1173.08,6.41,TFLOPS
MTL0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=512,k=2048",490,2066.18,7.28,TFLOPS
MTL0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=512,k=2048,o=1,mul=0",490,2049.84,7.33,TFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=1,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",5964,191.14,614.43,GFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=2,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",3408,319.99,734.03,GFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=3,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",2840,386.89,910.65,GFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=4,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",1704,639.22,734.9,GFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=5,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",1197,950.02,618.09,GFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=8,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",535,1898.15,494.97,GFLOPS
Vulkan0,MUL_MAT,"type_a=q4_K,type_b=f32,m=4096,n=512,k=14336,bs=[1,1],nr=[1,1],per=[0,1,2,3],k_v=0,o=1",98,10353.85,5.81,TFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=1,k=2048",11922,86.08,292.36,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=1,k=2048,o=1,mul=0",11922,86.04,292.49,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=4,k=2048",5964,199.08,505.63,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=4,k=2048,o=1,mul=0",5964,199.07,505.68,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=8,k=2048",3479,330.06,609.96,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=8,k=2048,o=1,mul=0",3479,329.78,610.48,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=32,k=2048",125,89276.16,9.02,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=32,k=2048,o=1,mul=0",125,91358.19,8.81,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=64,k=2048",63,100447.79,16.03,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=64,k=2048,o=1,mul=0",63,98401.97,16.37,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=128,k=2048",32,82647.72,38.98,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=128,k=2048,o=1,mul=0",32,81947.28,39.31,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=256,k=2048",16,69554.06,92.63,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=256,k=2048,o=1,mul=0",16,70379.44,91.54,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=512,k=2048",24,50259.04,256.37,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=128,n_used=8,b=0,m=768,n=512,k=2048,o=1,mul=0",24,51366.83,250.84,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=1,k=2048",13624,91.3,321.59,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=1,k=2048,o=1,mul=0",13624,91.73,320.07,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=4,k=2048",5112,208.31,563.78,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=4,k=2048,o=1,mul=0",5112,207.76,565.26,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=8,k=2048",2982,351.1,668.98,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=8,k=2048,o=1,mul=0",2982,351.52,668.19,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=32,k=2048",107,52066.1,18.04,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=32,k=2048,o=1,mul=0",107,55031.88,17.07,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=64,k=2048",54,53163.74,35.34,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=64,k=2048,o=1,mul=0",54,51796.02,36.28,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=128,k=2048",27,38525.89,97.55,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=128,k=2048,o=1,mul=0",27,40561.48,92.65,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=256,k=2048",42,30418.67,247.09,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=256,k=2048,o=1,mul=0",42,29485.62,254.91,GFLOPS
Vulkan0,MUL_MAT_ID,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=512,k=2048",35,33269.6,451.84,GFLOPS
Vulkan0,MUL_MAT_ID_FUSION,"type_a=q4_K,type_b=f32,n_mats=32,n_used=4,b=0,m=1792,n=512,k=2048,o=1,mul=0",35,29616.0,507.58,GFLOPS
MTL0,ADD,"type=f32,ne=[4096,1,1,1],nr=[1,1,1,1],nf=1,perm1=0,src_overlap=0",262080,3.9,11.74,GB/s
MTL0,ADD,"type=f32,ne=[4096,1,1,1],nr=[1,512,1,1],nf=1,perm1=0,src_overlap=0",47810,20.94,1119.45,GB/s
Vulkan0,ADD,"type=f32,ne=[4096,1,1,1],nr=[1,1,1,1],nf=1,perm1=0,src_overlap=0",40950,29.18,1.57,GB/s
Vulkan0,ADD,"type=f32,ne=[4096,1,1,1],nr=[1,512,1,1],nf=1,perm1=0,src_overlap=0",6830,147.68,158.71,GB/s
